label,comp_time,max_mem
Realign RF00001 + 733 chains,347.5666003227234,783781888
Realign RF00002 + 138 chains,15.574181318283081,710549504
Realign RF00004 + 10 chains,331.88619780540466,2516779008
Realign RF00005 + 869 chains,2349.9712748527527,6085918720
Realign RF00008 + 9 chains,7.597636461257935,247132160
Realign RF00009 + 4 chains,423.78941464424133,22123020288
Realign RF00010 + 3 chains,167.0309178829193,5554601984
Realign RF00011 + 4 chains,10.090157508850098,996966400
Realign RF00013 + 1 chains,17.571903228759766,474783744
Realign RF00015 + 6 chains,98.247323513031,1385431040
Realign RF00017 + 10 chains,2218.9181191921234,13771866112
Realign RF00020 + 17 chains,23.84590220451355,431484928
Realign RF00023 + 7 chains,1196.2392709255219,7625351168
Realign RF00026 + 20 chains,82.25747513771057,518791168
Realign RF00028 + 5 chains,240.64744520187378,11369852928
Realign RF00029 + 1 chains,62.898540019989014,898707456
Realign RF00032 + 9 chains,7.049402236938477,162136064
Realign RF00037 + 2 chains,0.27519845962524414,108863488
Realign RF00050 + 6 chains,9.991205930709839,397705216
Realign RF00059 + 24 chains,52.07490301132202,532307968
Realign RF00061 + 1 chains,0.3395853042602539,233058304
Realign RF00080 + 4 chains,19.957021474838257,1301696512
Realign RF00100 + 6 chains,415.4162850379944,4435156992
Realign RF00162 + 27 chains,16.753626108169556,408281088
Realign RF00164 + 1 chains,0.05605888366699219,83927040
Realign RF00167 + 48 chains,4.422192573547363,264232960
Realign RF00168 + 16 chains,17.653642892837524,796184576
Realign RF00169 + 11 chains,9.363726615905762,226705408
Realign RF00174 + 2 chains,171.14065551757812,2648383488
Realign RF00177 + 498 chains,2885.531806945801,45187723264
Realign RF00233 + 2 chains,0.16314435005187988,138911744
Realign RF00234 + 37 chains,10.552204132080078,1207234560
Realign RF00250 + 1 chains,0.08687877655029297,83755008
Realign RF00379 + 7 chains,27.468972206115723,655532032
Realign RF00380 + 3 chains,2.397320508956909,245669888
Realign RF00442 + 1 chains,2.0599684715270996,222887936
Realign RF00458 + 7 chains,0.24766230583190918,197394432
Realign RF00488 + 3 chains,1.4626531600952148,850460672
Realign RF00504 + 18 chains,12.249290227890015,366731264
Realign RF00505 + 1 chains,0.06069207191467285,83628032
Realign RF01051 + 17 chains,7.672087907791138,297189376
Realign RF01510 + 16 chains,0.0939493179321289,83746816
Realign RF01689 + 4 chains,1.2797768115997314,400691200
Realign RF01725 + 2 chains,2.976431369781494,294690816
Realign RF01734 + 5 chains,1.8893005847930908,163631104
Realign RF01739 + 4 chains,1.6384203433990479,271265792
Realign RF01750 + 6 chains,8.268307209014893,421974016
Realign RF01763 + 13 chains,0.5894784927368164,135094272
Realign RF01786 + 2 chains,0.8764479160308838,182689792
Realign RF01807 + 1 chains,0.19919967651367188,166801408
Realign RF01826 + 1 chains,0.06825041770935059,83787776
Realign RF01831 + 10 chains,2.0323476791381836,254255104
Realign RF01846 + 2 chains,15.989834308624268,1073623040
Realign RF01852 + 16 chains,4.523370265960693,249016320
Realign RF01854 + 3 chains,8.060775518417358,647757824
Realign RF01857 + 1 chains,3.9880683422088623,587083776
Realign RF01960 + 140 chains,3388.5226855278015,56313212928
Realign RF02001 + 26 chains,22.095701456069946,1335533568
Realign RF02012 + 3 chains,10.277246713638306,796667904
Realign RF02253 + 1 chains,0.2654685974121094,104386560
Realign RF02348 + 2 chains,0.11346197128295898,82419712
Realign RF02519 + 1 chains,0.039333343505859375,81330176
Realign RF02540 + 67 chains,726.7017936706543,48769855488
Realign RF02545 + 3 chains,0.451732873916626,513720320
Realign RF02546 + 1 chains,0.3498055934906006,405676032
Realign RF02553 + 1 chains,1.2360577583312988,281141248
Realign RF02680 + 1 chains,0.09950971603393555,80687104
Realign RF02683 + 1 chains,1.070310115814209,282808320
Realign RF02796 + 6 chains,0.0940089225769043,81862656
